rank,cell_id,latitude,longitude,predicted_violations,actual_violations
96,4809_27965,12.997297,77.569174,1.74,2
97,4784_27970,12.92973,77.583043,1.74,0
98,4751_27992,12.840541,77.644066,1.73,0
99,4788_28011,12.940541,77.696769,1.73,0
100,4805_27960,12.986486,77.555305,1.73,3
101,4797_28024,12.964865,77.732828,1.72,0
102,4781_27984,12.921622,77.621876,1.71,0
103,4793_27955,12.954054,77.541436,1.71,0
104,4790_27966,12.945946,77.571948,1.65,22
105,4800_27957,12.972973,77.546984,1.63,0
106,4799_27993,12.97027,77.64684,1.61,0
107,4784_28007,12.92973,77.685673,1.61,0
108,4799_27974,12.97027,77.594138,1.57,0
109,4794_27947,12.956757,77.519246,1.55,0
110,4802_27973,12.978378,77.591364,1.54,1
111,4787_28012,12.937838,77.699542,1.5,0
112,4799_27992,12.97027,77.644066,1.49,0
113,4778_27985,12.913514,77.62465,1.49,0
114,4778_27979,12.913514,77.608007,1.48,0
115,4809_27970,12.997297,77.583043,1.48,0
116,4799_28017,12.97027,77.713411,1.47,0
117,4790_27974,12.945946,77.594138,1.46,0
118,4814_27958,13.010811,77.549757,1.45,2
119,4806_27976,12.989189,77.599686,1.44,0
120,4779_27967,12.916216,77.574722,1.43,0
121,4794_28013,12.956757,77.702316,1.41,18
122,4809_27961,12.997297,77.558079,1.4,0
123,4809_27957,12.997297,77.546984,1.4,0
124,4794_27969,12.956757,77.580269,1.4,0
125,4768_27991,12.886486,77.641293,1.39,11
126,4820_27966,13.027027,77.571948,1.38,5
127,4797_28019,12.964865,77.718959,1.37,0
128,4781_28000,12.921622,77.666257,1.36,0
129,4769_27963,12.889189,77.563626,1.35,0
130,4796_27970,12.962162,77.583043,1.33,1
131,4783_27969,12.927027,77.580269,1.32,0
132,4785_28008,12.932432,77.688447,1.31,0
133,4783_27971,12.927027,77.585817,1.31,0
134,4820_27967,13.027027,77.574722,1.3,4
135,4787_27970,12.937838,77.583043,1.3,2
136,4799_27973,12.97027,77.591364,1.29,0
137,4795_28018,12.959459,77.716185,1.29,0
138,4798_27972,12.967568,77.588591,1.28,18
139,4784_27971,12.92973,77.585817,1.27,0
140,4836_27973,13.07027,77.591364,1.27,2
141,4785_27987,12.932432,77.630197,1.26,18
142,4793_27971,12.954054,77.585817,1.26,6
143,4801_27970,12.975676,77.583043,1.26,0
144,4771_27989,12.894595,77.635745,1.24,0
145,4788_27964,12.940541,77.5664,1.24,2
146,4812_27969,13.005405,77.580269,1.23,6
147,4808_28010,12.994595,77.693995,1.23,4
148,4810_27959,13.0,77.552531,1.23,15
149,4801_27966,12.975676,77.571948,1.23,0
150,4805_27979,12.986486,77.608007,1.22,0
151,4795_27994,12.959459,77.649614,1.21,1
152,4795_27993,12.959459,77.64684,1.2,0
153,4808_28001,12.994595,77.669031,1.17,2
154,4808_27959,12.994595,77.552531,1.17,5
155,4771_27976,12.894595,77.599686,1.17,0
156,4796_28024,12.962162,77.732828,1.16,0
157,4795_27967,12.959459,77.574722,1.16,0
158,4786_27947,12.935135,77.519246,1.15,0
159,4789_27964,12.943243,77.5664,1.15,1
160,4788_27963,12.940541,77.563626,1.15,1
161,4778_27971,12.913514,77.585817,1.15,0
162,4796_27976,12.962162,77.599686,1.14,0
163,4786_27981,12.935135,77.613555,1.13,0
164,4770_27990,12.891892,77.638519,1.12,0
165,4790_27975,12.945946,77.596912,1.11,0
166,4805_27969,12.986486,77.580269,1.11,0
167,4799_27990,12.97027,77.638519,1.11,1
168,4800_27983,12.972973,77.619102,1.1,0
169,4802_27959,12.978378,77.552531,1.09,0
170,4773_28003,12.9,77.674578,1.09,4
171,4780_27980,12.918919,77.610781,1.08,0
172,4808_27998,12.994595,77.660709,1.07,0
173,4785_27988,12.932432,77.632971,1.06,18
174,4808_27960,12.994595,77.555305,1.06,0
175,4787_27973,12.937838,77.591364,1.05,2
176,4783_28010,12.927027,77.693995,1.04,0
177,4809_28010,12.997297,77.693995,1.04,0
178,4795_28013,12.959459,77.702316,1.04,0
179,4780_27984,12.918919,77.621876,1.04,0
180,4806_27954,12.989189,77.538662,1.04,17
181,4799_27968,12.97027,77.577495,1.04,14
182,4814_27970,13.010811,77.583043,1.02,0
183,4779_27966,12.916216,77.571948,1.02,3
184,4803_27960,12.981081,77.555305,1.01,2
185,4795_27963,12.959459,77.563626,1.0,1
186,4776_27986,12.908108,77.627424,0.99,0
187,4805_27967,12.986486,77.574722,0.99,0
188,4811_27966,13.002703,77.571948,0.98,8
189,4799_27983,12.97027,77.619102,0.98,0
190,4769_27990,12.889189,77.638519,0.98,3
191,4805_27978,12.986486,77.605233,0.97,7
192,4810_27980,13.0,77.610781,0.97,0
193,4813_27969,13.008108,77.580269,0.97,1
194,4796_27944,12.962162,77.510924,0.97,3
195,4817_27954,13.018919,77.538662,0.96,0
196,4762_27996,12.87027,77.655162,0.96,0
197,4809_27960,12.997297,77.555305,0.96,0
198,4793_27956,12.954054,77.54421,0.96,0
199,4800_27981,12.972973,77.613555,0.96,0
200,4808_27972,12.994595,77.588591,0.94,0
201,4820_27956,13.027027,77.54421,0.94,0
202,4813_28009,13.008108,77.691221,0.94,0
203,4812_27958,13.005405,77.549757,0.93,1
204,4799_27953,12.97027,77.535888,0.93,0
205,4797_27960,12.964865,77.555305,0.93,0
206,4801_27978,12.975676,77.605233,0.93,0
207,4801_27972,12.975676,77.588591,0.93,0
208,4828_27974,13.048649,77.594138,0.92,1
209,4794_28018,12.956757,77.716185,0.92,0
210,4828_27968,13.048649,77.577495,0.92,0
211,4779_28002,12.916216,77.671804,0.91,0
212,4795_27992,12.959459,77.644066,0.9,1
213,4792_27979,12.951351,77.608007,0.89,0
214,4798_27953,12.967568,77.535888,0.89,5
215,4799_27989,12.97027,77.635745,0.89,0
216,4780_28002,12.918919,77.671804,0.89,0
217,4802_27990,12.978378,77.638519,0.88,2
218,4778_28004,12.913514,77.677352,0.88,0
219,4827_28030,13.045946,77.749471,0.87,2
220,4830_27943,13.054054,77.50815,0.87,0
221,4807_27960,12.991892,77.555305,0.87,3
222,4829_27959,13.051351,77.552531,0.87,0
223,4764_27956,12.875676,77.54421,0.86,0
224,4807_27959,12.991892,77.552531,0.85,1
225,4817_27959,13.018919,77.552531,0.85,0
226,4778_27978,12.913514,77.605233,0.85,0
227,4810_27985,13.0,77.62465,0.85,0
228,4820_27955,13.027027,77.541436,0.84,0
229,4803_27963,12.981081,77.563626,0.83,1
230,4834_27973,13.064865,77.591364,0.82,0
231,4810_27965,13.0,77.569174,0.82,18
232,4807_27998,12.991892,77.660709,0.82,1
233,4783_27982,12.927027,77.616328,0.82,0
234,4797_27958,12.964865,77.549757,0.81,3
235,4827_27967,13.045946,77.574722,0.8,0
236,4818_27990,13.021622,77.638519,0.8,3
237,4789_28011,12.943243,77.696769,0.8,0
238,4779_28003,12.916216,77.674578,0.8,0
239,4814_28011,13.010811,77.696769,0.79,0
240,4791_27969,12.948649,77.580269,0.79,12
241,4778_27988,12.913514,77.632971,0.79,0
242,4777_27966,12.910811,77.571948,0.79,0
243,4807_27974,12.991892,77.594138,0.79,0
244,4881_28005,13.191892,77.680126,0.78,0
245,4808_28000,12.994595,77.666257,0.78,1
246,4821_27953,13.02973,77.535888,0.78,0
247,4802_27980,12.978378,77.610781,0.78,0
248,4764_27993,12.875676,77.64684,0.78,0
249,4802_27981,12.978378,77.613555,0.77,4
250,4774_28014,12.902703,77.70509,0.77,0
251,4806_27968,12.989189,77.577495,0.77,2
252,4777_27992,12.910811,77.644066,0.76,0
253,4825_27947,13.040541,77.519246,0.76,1
254,4837_27972,13.072973,77.588591,0.76,0
255,4809_27963,12.997297,77.563626,0.76,0
256,4785_27946,12.932432,77.516472,0.76,0
257,4820_27968,13.027027,77.577495,0.76,2
258,4797_27959,12.964865,77.552531,0.75,1
259,4777_28007,12.910811,77.685673,0.75,0
260,4798_27971,12.967568,77.585817,0.75,0
261,4801_27979,12.975676,77.608007,0.75,7
262,4794_27967,12.956757,77.574722,0.75,0
263,4800_27984,12.972973,77.621876,0.75,0
264,4795_27971,12.959459,77.585817,0.75,0
265,4816_27960,13.016216,77.555305,0.74,0
266,4776_27987,12.908108,77.630197,0.74,0
267,4794_27971,12.956757,77.585817,0.74,1
268,4790_27972,12.945946,77.588591,0.74,0
269,4809_27962,12.997297,77.560853,0.74,0
270,4797_27971,12.964865,77.585817,0.74,0
271,4803_27968,12.981081,77.577495,0.74,1
272,4804_27960,12.983784,77.555305,0.74,3
273,4795_27977,12.959459,77.60246,0.73,0
274,4781_27969,12.921622,77.580269,0.73,0
275,4770_27989,12.891892,77.635745,0.73,0
276,4806_27979,12.989189,77.608007,0.73,0
277,4803_27966,12.981081,77.571948,0.72,0
278,4799_28016,12.97027,77.710638,0.72,0
279,4800_27959,12.972973,77.552531,0.72,0
280,4827_27948,13.045946,77.522019,0.72,0
281,4787_28011,12.937838,77.696769,0.72,0
282,4786_28010,12.935135,77.693995,0.72,0
283,4799_27969,12.97027,77.580269,0.71,0
284,4784_27969,12.92973,77.580269,0.71,0
285,4801_27959,12.975676,77.552531,0.71,4
286,4821_27962,13.02973,77.560853,0.7,3
287,4828_27939,13.048649,77.497055,0.7,0
288,4780_27969,12.918919,77.580269,0.7,0
289,4800_27954,12.972973,77.538662,0.7,0
290,4752_27992,12.843243,77.644066,0.7,2
291,4809_27981,12.997297,77.613555,0.69,0
292,4817_27960,13.018919,77.555305,0.69,0
293,4804_27991,12.983784,77.641293,0.69,0
294,4783_28004,12.927027,77.677352,0.69,0
295,4802_27978,12.978378,77.605233,0.69,0
296,4772_28019,12.897297,77.718959,0.69,1
297,4802_27972,12.978378,77.588591,0.69,0
298,4780_27970,12.918919,77.583043,0.69,0
299,4783_27970,12.927027,77.583043,0.68,0
300,4806_27960,12.989189,77.555305,0.68,3
301,4812_28016,13.005405,77.710638,0.68,0
302,4798_27969,12.967568,77.580269,0.68,0
303,4767_27991,12.883784,77.641293,0.67,0
304,4807_27967,12.991892,77.574722,0.67,0
305,4778_28005,12.913514,77.680126,0.67,0
306,4762_27995,12.87027,77.652388,0.67,0
307,4773_27971,12.9,77.585817,0.67,0
308,4777_27990,12.910811,77.638519,0.67,0
309,4805_27974,12.986486,77.594138,0.67,0
310,4789_27967,12.943243,77.574722,0.67,0
311,4787_27986,12.937838,77.627424,0.66,1
312,4777_27971,12.910811,77.585817,0.66,0
313,4751_28004,12.840541,77.677352,0.66,2
314,4819_27971,13.024324,77.585817,0.65,0
315,4813_27950,13.008108,77.527567,0.64,0
316,4825_27945,13.040541,77.513698,0.64,0
317,4827_27942,13.045946,77.505377,0.64,0
318,4790_28012,12.945946,77.699542,0.64,0
319,4788_27949,12.940541,77.524793,0.64,0
320,4808_27979,12.994595,77.608007,0.64,0
321,4804_27969,12.983784,77.580269,0.64,0
322,4778_27933,12.913514,77.480413,0.63,0
323,4785_27984,12.932432,77.621876,0.63,0
324,4801_27977,12.975676,77.60246,0.63,0
325,4795_27947,12.959459,77.519246,0.62,0
326,4803_27969,12.981081,77.580269,0.62,0
327,4831_27957,13.056757,77.546984,0.61,0
328,4788_27966,12.940541,77.571948,0.61,1
329,4797_28018,12.964865,77.716185,0.6,0
330,4780_28001,12.918919,77.669031,0.6,0
331,4777_27933,12.910811,77.480413,0.6,0
332,4801_27960,12.975676,77.555305,0.6,0
333,4800_27997,12.972973,77.657935,0.6,0
334,4881_27993,13.191892,77.64684,0.6,0
335,4798_28017,12.967568,77.713411,0.6,0
336,4808_28012,12.994595,77.699542,0.59,0
337,4802_28010,12.978378,77.693995,0.59,0
338,4780_27992,12.918919,77.644066,0.59,0
339,4794_28019,12.956757,77.718959,0.59,0
340,4800_27956,12.972973,77.54421,0.59,0
341,4751_27994,12.840541,77.649614,0.59,0
342,4800_28016,12.972973,77.710638,0.58,0
343,4835_27985,13.067568,77.62465,0.58,0
344,4779_27990,12.916216,77.638519,0.58,0
345,4813_27956,13.008108,77.54421,0.58,1
346,4799_27957,12.97027,77.546984,0.58,0
347,4783_27984,12.927027,77.621876,0.57,0
348,4797_27965,12.964865,77.569174,0.57,0
349,4880_28005,13.189189,77.680126,0.57,0
350,4812_27974,13.005405,77.594138,0.57,1
351,4769_27962,12.889189,77.560853,0.56,0
352,4794_27968,12.956757,77.577495,0.56,1
353,4787_27968,12.937838,77.577495,0.56,0
354,4800_27943,12.972973,77.50815,0.56,1
355,4812_27959,13.005405,77.552531,0.55,0
356,4798_27957,12.967568,77.546984,0.54,1
357,4802_27955,12.978378,77.541436,0.54,0
358,4757_27972,12.856757,77.588591,0.54,0
359,4794_28015,12.956757,77.707864,0.54,0
360,4779_27982,12.916216,77.616328,0.54,0
361,4781_27995,12.921622,77.652388,0.54,1
362,4790_27964,12.945946,77.5664,0.53,0
363,4776_28011,12.908108,77.696769,0.53,0
364,4766_27975,12.881081,77.596912,0.53,2
365,4827_27943,13.045946,77.50815,0.53,0
366,4792_27975,12.951351,77.596912,0.52,0
367,4826_27945,13.043243,77.513698,0.52,0
368,4801_27986,12.975676,77.627424,0.52,0
369,4810_27955,13.0,77.541436,0.52,5
370,4805_27954,12.986486,77.538662,0.52,0
371,4820_27971,13.027027,77.585817,0.52,0
372,4805_27966,12.986486,77.571948,0.52,0
373,4822_27963,13.032432,77.563626,0.51,0
374,4806_27958,12.989189,77.549757,0.51,0
375,4786_27946,12.935135,77.516472,0.51,0
376,4782_28002,12.924324,77.671804,0.5,0
377,4806_27941,12.989189,77.502603,0.5,0
378,4828_27973,13.048649,77.591364,0.5,0
379,4788_27983,12.940541,77.619102,0.5,0
380,4818_27952,13.021622,77.533115,0.5,0
381,4783_27988,12.927027,77.632971,0.5,0
382,4796_27973,12.962162,77.591364,0.5,0
383,4836_27971,13.07027,77.585817,0.5,0
384,4799_27997,12.97027,77.657935,0.49,0
385,4783_27958,12.927027,77.549757,0.49,0
386,4796_27989,12.962162,77.635745,0.49,0
387,4781_28001,12.921622,77.669031,0.49,0
388,4813_28033,13.008108,77.757792,0.49,0
389,4810_27983,13.0,77.619102,0.49,1
390,4802_27958,12.978378,77.549757,0.48,0
391,4807_27980,12.991892,77.610781,0.48,0
392,4830_27953,13.054054,77.535888,0.48,0
393,4901_28017,13.245946,77.713411,0.48,0
394,4787_27969,12.937838,77.580269,0.48,2
395,4792_27968,12.951351,77.577495,0.48,0
396,4794_27970,12.956757,77.583043,0.48,0
397,4788_27979,12.940541,77.608007,0.48,1
398,4811_28033,13.002703,77.757792,0.47,0
399,4817_27952,13.018919,77.533115,0.47,7
400,4806_27940,12.989189,77.499829,0.47,0
401,4813_27961,13.008108,77.558079,0.47,0
402,4764_27994,12.875676,77.649614,0.47,0
403,4804_27951,12.983784,77.530341,0.47,0
404,4789_27965,12.943243,77.569174,0.47,1
405,4799_27943,12.97027,77.50815,0.47,0
406,4813_27965,13.008108,77.569174,0.47,0
407,4777_27986,12.910811,77.627424,0.47,0
408,4805_27947,12.986486,77.519246,0.47,0
409,4793_27974,12.954054,77.594138,0.46,0
410,4806_27982,12.989189,77.616328,0.46,3
411,4775_27967,12.905405,77.574722,0.46,0
412,4829_27938,13.051351,77.494282,0.46,0
413,4776_27952,12.908108,77.533115,0.46,0
414,4829_27974,13.051351,77.594138,0.46,1
415,4799_27978,12.97027,77.605233,0.46,0
416,4784_28006,12.92973,77.6829,0.46,0
417,4798_28018,12.967568,77.716185,0.46,0
418,4799_27954,12.97027,77.538662,0.46,0
419,4805_27959,12.986486,77.552531,0.46,11
420,4783_27975,12.927027,77.596912,0.46,0
421,4786_27980,12.935135,77.610781,0.45,0
422,4801_27963,12.975676,77.563626,0.45,0
423,4805_28024,12.986486,77.732828,0.45,0
424,4794_27957,12.956757,77.546984,0.45,0
425,4784_27980,12.92973,77.610781,0.45,0
426,4800_27975,12.972973,77.596912,0.45,0
427,4798_27956,12.967568,77.54421,0.45,0
428,4798_27991,12.967568,77.641293,0.45,2
429,4808_27980,12.994595,77.610781,0.44,0
430,4802_27977,12.978378,77.60246,0.44,12
431,4795_27998,12.959459,77.660709,0.44,0
432,4783_27979,12.927027,77.608007,0.44,1
433,4840_27957,13.081081,77.546984,0.44,0
434,4749_28005,12.835135,77.680126,0.44,0
435,4807_27954,12.991892,77.538662,0.43,0
436,4786_27987,12.935135,77.630197,0.43,5
437,4782_27988,12.924324,77.632971,0.43,1
438,4782_27971,12.924324,77.585817,0.43,0
439,4788_28010,12.940541,77.693995,0.43,0
440,4834_27972,13.064865,77.588591,0.43,0
441,4832_27968,13.059459,77.577495,0.42,0
442,4798_28019,12.967568,77.718959,0.42,0
443,4805_27983,12.986486,77.619102,0.42,1
444,4807_28018,12.991892,77.716185,0.42,0
445,4797_27954,12.964865,77.538662,0.42,0
446,4806_27977,12.989189,77.60246,0.42,0
447,4814_27942,13.010811,77.505377,0.42,0
448,4778_27990,12.913514,77.638519,0.41,0
449,4781_27971,12.921622,77.585817,0.41,0
450,4809_27980,12.997297,77.610781,0.41,0
451,4785_27981,12.932432,77.613555,0.41,0
452,4809_28009,12.997297,77.691221,0.41,0
453,4791_27968,12.948649,77.577495,0.41,0
454,4802_27956,12.978378,77.54421,0.4,0
455,4798_27997,12.967568,77.657935,0.4,0
456,4807_27978,12.991892,77.605233,0.39,0
457,4810_27970,13.0,77.583043,0.39,0
458,4831_27974,13.056757,77.594138,0.38,0
459,4809_27971,12.997297,77.585817,0.38,0
460,4863_27983,13.143243,77.619102,0.38,0
461,4800_27979,12.972973,77.608007,0.38,1
462,4795_27970,12.959459,77.583043,0.38,0
463,4784_28005,12.92973,77.680126,0.38,0
464,4809_27956,12.997297,77.54421,0.38,1
465,4806_27959,12.989189,77.552531,0.38,4
466,4794_27992,12.956757,77.644066,0.37,0
467,4798_28030,12.967568,77.749471,0.37,0
468,4855_27987,13.121622,77.630197,0.37,1
469,4822_27961,13.032432,77.558079,0.37,0
470,4794_27965,12.956757,77.569174,0.37,0
471,4801_27958,12.975676,77.549757,0.37,0
472,4813_27984,13.008108,77.621876,0.37,0
473,4779_27971,12.916216,77.585817,0.37,0
474,4803_27972,12.981081,77.588591,0.36,0
475,4764_27974,12.875676,77.594138,0.36,0
476,4822_27953,13.032432,77.535888,0.36,0
477,4805_27933,12.986486,77.480413,0.36,0
478,4810_27949,13.0,77.524793,0.36,0
479,4796_28018,12.962162,77.716185,0.36,0
480,4812_28007,13.005405,77.685673,0.36,0
481,4772_28003,12.897297,77.674578,0.35,0
482,4808_27981,12.994595,77.613555,0.35,0
483,4787_28009,12.937838,77.691221,0.35,0
484,4783_27983,12.927027,77.619102,0.35,0
485,4805_28025,12.986486,77.735602,0.35,0
486,4784_27988,12.92973,77.632971,0.35,0
487,4821_27954,13.02973,77.538662,0.34,4
488,4806_27953,12.989189,77.535888,0.34,0
489,4832_27974,13.059459,77.594138,0.34,0
490,4796_27972,12.962162,77.588591,0.34,0
491,4796_27994,12.962162,77.649614,0.34,0
492,4812_27965,13.005405,77.569174,0.34,1
493,4878_28007,13.183784,77.685673,0.34,0
494,4780_27967,12.918919,77.574722,0.34,0
495,4804_27962,12.983784,77.560853,0.34,1
496,4787_27983,12.937838,77.619102,0.34,0
497,4820_27969,13.027027,77.580269,0.34,0
498,4878_28008,13.183784,77.688447,0.33,0
499,4804_27959,12.983784,77.552531,0.33,7
500,4765_27993,12.878378,77.64684,0.33,0
501,4788_27985,12.940541,77.62465,0.33,0
502,4803_27959,12.981081,77.552531,0.33,0
503,4795_27969,12.959459,77.580269,0.33,0
504,4785_28011,12.932432,77.696769,0.32,0
505,4767_28031,12.883784,77.752244,0.31,0
506,4834_27971,13.064865,77.585817,0.31,0
507,4823_27961,13.035135,77.558079,0.31,0
508,4806_27973,12.989189,77.591364,0.31,0
509,4807_27972,12.991892,77.588591,0.3,0
510,4807_27976,12.991892,77.599686,0.3,0
511,4817_28015,13.018919,77.707864,0.3,0
512,4806_28024,12.989189,77.732828,0.3,0
513,4785_27980,12.932432,77.610781,0.3,0
514,4798_27973,12.967568,77.591364,0.3,0
515,4822_27972,13.032432,77.588591,0.29,0
516,4808_27967,12.994595,77.574722,0.29,0
517,4817_27961,13.018919,77.558079,0.29,0
518,4810_28008,13.0,77.688447,0.29,0
519,4782_28004,12.924324,77.677352,0.29,0
520,4815_27986,13.013514,77.627424,0.29,0
521,4771_27990,12.894595,77.638519,0.28,0
522,4833_27971,13.062162,77.585817,0.28,0
523,4813_27973,13.008108,77.591364,0.28,0
524,4767_27992,12.883784,77.644066,0.28,0
525,4800_27967,12.972973,77.574722,0.28,0
526,4775_27973,12.905405,77.591364,0.28,0
527,4809_27955,12.997297,77.541436,0.28,0
528,4787_27952,12.937838,77.533115,0.28,0
529,4855_27988,13.121622,77.632971,0.28,0
530,4793_27973,12.954054,77.591364,0.28,1
531,4805_27977,12.986486,77.60246,0.27,0
532,4796_27975,12.962162,77.596912,0.27,0
533,4816_27973,13.016216,77.591364,0.27,0
534,4772_27989,12.897297,77.635745,0.27,0
535,4818_27959,13.021622,77.552531,0.27,1
536,4766_27992,12.881081,77.644066,0.27,0
537,4792_28018,12.951351,77.716185,0.27,0
538,4800_27964,12.972973,77.5664,0.27,0
539,4785_27971,12.932432,77.585817,0.27,0
540,4807_27997,12.991892,77.657935,0.27,0
541,4795_27991,12.959459,77.641293,0.27,0
542,4771_27997,12.894595,77.657935,0.26,0
543,4833_27973,13.062162,77.591364,0.26,0
544,4837_27974,13.072973,77.594138,0.26,10
545,4789_28029,12.943243,77.746697,0.26,0
546,4791_27953,12.948649,77.535888,0.26,0
547,4769_27991,12.889189,77.641293,0.26,13
548,4799_28030,12.97027,77.749471,0.26,0
549,4774_27991,12.902703,77.641293,0.26,0
550,4816_27958,13.016216,77.549757,0.26,0
551,4809_27982,12.997297,77.616328,0.24,0
552,4784_27978,12.92973,77.605233,0.24,0
553,4802_28011,12.978378,77.696769,0.24,0
554,4784_27979,12.92973,77.608007,0.24,0
555,4812_28033,13.005405,77.757792,0.24,0
556,4781_27980,12.921622,77.610781,0.24,0
557,4806_28016,12.989189,77.710638,0.24,0
558,4803_27995,12.981081,77.652388,0.24,0
559,4795_27972,12.959459,77.588591,0.24,0
560,4775_27986,12.905405,77.627424,0.24,0
561,4800_27974,12.972973,77.594138,0.24,0
562,4789_27984,12.943243,77.621876,0.24,0
563,4823_28025,13.035135,77.735602,0.24,0
564,4811_27974,13.002703,77.594138,0.23,0
565,4812_27960,13.005405,77.555305,0.23,0
566,4764_27975,12.875676,77.596912,0.23,0
567,4787_27971,12.937838,77.585817,0.23,1
568,4835_27973,13.067568,77.591364,0.23,0
569,4792_27954,12.951351,77.538662,0.23,0
570,4798_28013,12.967568,77.702316,0.23,0
571,4833_27974,13.062162,77.594138,0.23,0
572,4782_28010,12.924324,77.693995,0.23,0
573,4796_27962,12.962162,77.560853,0.23,0
574,4777_27958,12.910811,77.549757,0.23,0
575,4796_27971,12.962162,77.585817,0.23,0
576,4800_27985,12.972973,77.62465,0.23,0
577,4806_27961,12.989189,77.558079,0.23,0
578,4777_27959,12.910811,77.552531,0.23,0
579,4777_28006,12.910811,77.6829,0.23,1
580,4777_27972,12.910811,77.588591,0.23,0
581,4798_27965,12.967568,77.569174,0.23,1
